,Metro station,lon,lat,Number of floors,type,Number of rooms,id,Area,floor,Price
56,Авиамоторная,37.7417848015,55.7365994864,45,monolith,4.0,300674404,84.5,44,28859908.0
57,Авиамоторная,37.710225,55.75246,9,block,1.0,296043394,31.3,6,10100000.0
58,Авиамоторная,37.7417848015,55.7365994864,45,monolith,1.0,296503270,34.0,2,13298444.0
59,Авиамоторная,37.710755,55.742443,4,block,0.0,295178232,30.5,2,11500000.0
60,Авиамоторная,37.6965109035173,55.7532442158635,11,monolith,0.0,294513529,35.9,11,14173320.0
61,Авиамоторная,37.706973,55.75323,23,monolith,0.0,294647011,26.2,6,12000000.0
62,Авиамоторная,37.690401129255,55.7516227365684,25,monolith,1.0,300358007,41.6,17,22921600.0
63,Авиамоторная,37.704736,55.749927,4,brick,0.0,301319506,60.0,3,11472000.0
64,Авиамоторная,37.7417848015,55.7365994864,45,monolith,1.0,300128918,38.6,25,14743076.0
65,Авиамоторная,37.703999,55.747687,5,brick,0.0,300667938,25.0,1,8900000.0
66,Авиамоторная,37.6910374790608,55.7529277317889,27,monolith,1.0,300357872,28.8,6,15678720.0
67,Авиамоторная,37.702194,55.746831,16,panel,1.0,301054393,35.0,11,10600000.0
68,Авиамоторная,37.6965109035173,55.7532442158635,11,monolith,1.0,294513508,53.8,11,23015640.0
69,Авиамоторная,37.701888,55.746573,16,block,1.0,298940430,34.4,12,10300000.0
70,Авиамоторная,37.6904011293,55.7516227366,25,monolith,0.0,300358047,28.6,6,16081780.0
71,Авиамоторная,37.710225,55.75246,9,block,1.0,301276535,32.1,8,11900000.0
72,Авиамоторная,37.6965109035173,55.7532442158635,11,monolith,0.0,294513506,36.6,1,14222760.0
73,Авиамоторная,37.70311,55.746112,9,monolith,1.0,300982104,26.0,2,10300000.0
74,Авиамоторная,37.6965109035173,55.7532442158635,11,monolith,1.0,294513504,51.9,1,18746280.0
75,Авиамоторная,37.705958,55.755636,26,monolith,0.0,297312346,27.0,15,12950000.0
76,Авиамоторная,37.6895080934103,55.7525308509895,27,monolith,4.0,300357626,109.8,12,46873620.0
77,Авиамоторная,37.720906,55.744936,8,brick,4.0,298902914,84.0,7,19500000.0
78,Авиамоторная,37.6910374791,55.7529277318,27,monolith,1.0,300357913,34.6,12,18078500.0
79,Авиамоторная,37.710755,55.742443,3,monolith,0.0,300572198,13.7,2,4900000.0
80,Авиамоторная,37.6965109035173,55.7532442158635,11,monolith,0.0,294513510,40.0,11,17080000.0
81,Авиамоторная,37.70311,55.746112,9,panel,1.0,294828239,30.0,4,10200000.0
82,Авиамоторная,37.690401129255,55.7516227365684,26,monolith,4.0,300357977,108.8,19,43792000.0
83,Авиамоторная,37.705679,55.750859,27,monolith,0.0,301147308,27.2,25,13500000.0
84,Авиамоторная,37.74178480154192,55.73659948644136,45,monolith,2.0,296820605,37.5,20,14750536.0
85,Авиамоторная,37.735153,55.754122,5,monolith,2.0,301280744,25.9,4,7690000.0
86,Авиамоторная,37.74178480154192,55.73659948644136,45,monolith,3.0,296502948,64.8,12,22878863.0
87,Авиамоторная,37.704862,55.751041,27,monolith,2.0,286258865,56.1,8,23300000.0
88,Авиамоторная,37.6996415463688,55.752890650257,25,monolith,3.0,300357689,77.6,3,29037920.0
89,Авиамоторная,37.706622,55.750844,26,monolith,2.0,301259458,36.0,3,16790000.0
90,Авиамоторная,37.6965109035173,55.7532442158635,24,monolith,2.0,300357397,60.0,8,26256000.0
91,Авиамоторная,37.700137,55.752379,13,monolith,2.0,300139434,80.1,9,32000000.0
92,Авиамоторная,37.6965109035,55.7532442159,24,monolith,3.0,300357434,83.3,9,30362850.0
93,Авиамоторная,37.698672,55.750195,28,monolith,3.0,295036840,86.0,19,31500000.0
94,Авиамоторная,37.6895080934103,55.7525308509895,27,monolith,3.0,300357624,90.3,17,42540330.0
95,Авиамоторная,37.70011,55.750317,20,monolith,3.0,300338564,75.6,7,46000000.0
96,Авиамоторная,37.7432761098,55.7368537206,37,monolith,2.0,299579286,49.1,19,18052619.0
97,Авиамоторная,37.706973,55.75323,23,monolithBrick,3.0,300366951,79.0,22,37000000.0
