floor,count_floors,rooms,square,district,price
6,8,3,142.8,3,159800000
8,14,3,76.5,3,36500000
22,22,3,127.6,3,53500000
20,29,3,126.8,3,57300000
22,29,3,127.6,3,57600000
18,29,3,138.8,3,62700000
22,22,3,159.9,3,67000000
22,29,3,159.9,3,72200000
6,8,3,144.0,3,165600000
6,10,3,60.5,3,23500000
6,10,3,60.5,3,23500000
20,30,3,110.0,3,57200000
3,6,3,137.0,3,126500000
6,16,3,158.0,3,200600000
10,12,3,126.6,3,54400000
3,10,3,138.3,3,138500000
4,9,3,130.0,3,105300000
7,7,3,145.2,3,221400000
6,8,3,142.8,3,159800000
4,8,3,130.0,3,99800000
8,14,3,76.5,3,36500000
22,22,3,127.6,3,53500000
20,29,3,126.8,3,57300000
22,29,3,127.6,3,57600000
18,29,3,138.8,3,62700000
22,22,3,159.9,3,67000000
22,29,3,159.9,3,72200000
6,8,3,144.0,3,165600000
6,10,3,60.5,3,23500000
6,10,3,60.5,3,23500000
20,30,3,110.0,3,57200000
3,6,3,137.0,3,126500000
7,8,2,65.0,3,74600000
4,21,2,41.0,3,43300000
7,21,2,41.0,3,43300000
3,9,2,135.4,3,139100000
2,8,2,77.0,3,85900000
2,8,2,77.0,3,80800000
2,37,1,40.3,4,26300000
9,41,1,40.5,4,29400000
16,40,1,41.1,4,30900000
5,5,1,30.0,4,11700000
37,37,1,48.0,4,36700000
4,6,1,39.3,4,17600000
4,5,1,29.7,4,12000000
4,15,1,30.2,4,14500000
6,15,1,32.0,4,15300000
9,41,1,40.4,4,31000000
12,41,1,41.9,4,30900000
4,15,1,32.1,4,15400000
14,24,1,39.9,4,22500000
6,15,1,33.0,4,15800000
5,24,1,41.4,4,23400000
13,42,1,42.0,4,28500000
18,32,1,51.0,4,22600000
16,21,1,42.0,4,28000000
21,26,2,87.0,4,41200000
3,40,2,81.7,4,57000000
3,5,2,69.3,4,53100000
3,36,2,70.0,4,53900000
15,21,2,37.26,4,15400000
18,27,2,62.0,4,26500000
22,24,2,44.0,4,28200000
3,27,2,72.0,4,33700000
14,24,2,45.0,4,27800000
2,15,2,90.0,4,40300000
4,41,2,75.0,4,52000000
22,24,2,40.0,4,27700000
5,21,2,57.0,4,23600000
39,41,2,56.9,4,34800000
18,42,2,94.0,4,43400000
27,42,4,114.0,4,68900000
27,41,4,109.7,4,71300000
20,41,4,162.9,4,105900000
6,41,4,91.0,4,69600000
10,37,4,112.8,4,85500000
7,41,4,132.9,4,80300000
20,41,4,164.0,4,99100000
28,32,4,146.9,4,68800000
7,24,4,108.0,4,52900000
26,41,4,138.2,4,104800000
49,57,4,156.0,4,126500000
4,25,4,193.7,4,157100000
21,26,4,120.0,4,52000000
18,32,4,187.4,4,93800000
18,18,4,187.4,4,80100000
4,61,4,220.0,4,141000000
4,22,4,214.0,4,173600000
13,37,3,66.3,4,47600000
9,36,3,70.6,4,53000000
16,37,3,91.0,4,55000000
18,22,3,116.2,4,81900000
18,50,3,115.7,4,81600000
8,21,3,65.0,4,37200000
8,24,3,65.0,4,40600000
24,40,3,82.4,4,61800000
25,37,3,114.0,4,66200000
8,23,3,70.0,4,43700000
5,57,3,115.0,4,88300000
3,57,3,115.0,4,88300000
2,13,3,76.25,4,29100000
4,17,3,76.6,4,28700000
14,26,3,78.0,4,33100000
13,37,3,66.3,4,47600000
9,36,3,70.6,4,53000000
16,37,3,91.0,4,55000000
18,22,3,116.2,4,81900000
18,50,3,115.7,4,81600000
8,21,3,65.0,4,37200000
8,24,3,65.0,4,40600000
24,40,3,82.4,4,61800000
25,37,3,114.0,4,66200000
8,23,3,70.0,4,43700000
5,57,3,115.0,4,88300000
3,57,3,115.0,4,88300000
2,13,3,76.25,4,29100000
4,17,3,76.6,4,28700000
14,26,3,78.0,4,33100000
21,26,2,87.0,4,41200000
3,40,2,81.7,4,57000000
3,5,2,69.3,4,53100000
3,36,2,70.0,4,53900000
15,21,2,37.26,4,15400000
18,27,2,62.0,4,26500000
22,24,2,44.0,4,28200000
3,27,2,72.0,4,33700000
14,24,2,45.0,4,27800000
2,15,2,90.0,4,40300000
4,41,2,75.0,4,52000000
22,24,2,40.0,4,27700000
5,21,2,57.0,4,23600000
39,41,2,56.9,4,34800000
18,42,2,94.0,4,43400000
10,16,2,40.0,4,15400000
26,27,2,56.0,4,27200000
5,24,2,54.0,4,31000000
16,24,2,55.6,4,30000000
4,23,2,90.6,4,44900000
2,37,2,60.0,4,44600000
13,18,1,49.7,5,28200000
4,29,1,46.3,5,22300000
4,29,1,40.0,5,19200000
10,40,1,44.98,5,24300000
14,46,2,66.4,5,31500000
3,10,2,54.1,5,27700000
8,9,2,40.0,5,15200000
3,16,2,55.3,5,27300000
4,5,2,61.7,5,25800000
6,16,2,64.3,5,30600000
5,6,2,61.3,5,26700000
10,16,2,41.9,5,17500000
5,16,2,70.1,5,36600000
13,15,2,73.0,5,29500000
1,5,2,41.2,5,14600000
2,16,2,50.4,5,16700000
28,46,4,95.3,5,47700000
10,10,4,102.6,5,41400000
10,18,4,102.5,5,42000000
35,48,4,109.6,5,54800000
9,10,4,115.0,5,50500000
8,8,4,184.5,5,63500000
8,8,4,185.0,5,63600000
14,16,4,127.0,5,71600000
8,13,4,88.2,5,40000000
38,48,4,93.0,5,46500000
17,18,4,100.0,5,42100000
7,10,3,68.5,5,34200000
8,8,3,85.0,5,33200000
8,16,3,82.3,5,39500000
9,9,3,91.0,5,44000000
6,16,3,136.9,5,63300000
9,10,3,94.4,5,36100000
31,40,3,60.0,5,27100000
7,8,3,139.0,5,46500000
11,29,3,76.0,5,37800000
5,8,3,55.0,5,20800000
14,15,3,73.0,5,28000000
3,14,3,68.0,5,29600000
38,46,3,55.5,5,26900000
2,6,3,70.8,5,37200000
9,12,3,99.0,5,44200000
7,10,3,68.5,5,34200000
8,8,3,85.0,5,33200000
8,16,3,82.3,5,39500000
9,9,3,91.0,5,44000000
6,16,3,136.9,5,63300000
9,10,3,94.4,5,36100000
31,40,3,60.0,5,27100000
7,8,3,139.0,5,46500000
11,29,3,76.0,5,37800000
5,8,3,55.0,5,20800000
14,15,3,73.0,5,28000000
3,14,3,68.0,5,29600000
38,46,3,55.5,5,26900000
14,46,2,66.4,5,31500000
3,10,2,54.1,5,27700000
8,9,2,40.0,5,15200000
3,16,2,55.3,5,27300000
4,5,2,61.7,5,25800000
6,16,2,64.3,5,30600000
5,6,2,61.3,5,26700000
10,16,2,41.9,5,17500000
5,16,2,70.1,5,36600000
13,15,2,73.0,5,29500000
1,5,2,41.2,5,14600000
2,16,2,50.4,5,16700000
11,16,2,40.6,5,18100000
2,15,2,55.8,5,20200000
1,5,2,60.9,5,19200000
4,9,2,47.0,5,23400000
5,5,2,60.3,5,24300000
3,4,2,71.3,5,22200000
38,40,2,60.0,5,29400000
38,40,2,60.0,5,29400000
16,19,2,68.0,5,28500000
11,16,1,44.9,6,19700000
2,3,1,19.0,6,7100000
9,9,2,131.6,6,63200000
10,11,2,40.0,6,26700000
7,12,2,58.1,6,26600000
4,5,2,49.0,6,16000000
10,11,2,68.0,6,45300000
8,11,2,40.9,6,29800000
9,10,2,75.0,6,33800000
9,9,2,131.6,6,63200000
1,5,2,37.4,6,13100000
6,7,4,143.0,6,134200000
6,7,4,143.0,6,134200000
6,8,4,131.0,6,66500000
6,8,4,131.2,6,66600000
2,6,4,103.3,6,61800000
10,11,4,135.2,6,88300000
6,10,4,182.0,6,167700000
19,23,4,172.0,6,83200000
2,7,4,110.4,6,44400000
5,10,4,184.0,6,104500000
6,9,4,182.1,6,167800000
5,16,4,76.0,6,33200000
5,11,3,62.3,6,39500000
2,2,3,79.0,6,35900000
4,5,3,135.0,6,216100000
4,5,3,135.0,6,245100000
2,11,3,135.0,6,132900000
4,6,3,68.5,6,24100000
6,6,3,65.0,6,41300000
6,7,3,140.0,6,127400000
5,5,3,75.4,6,36600000
1,12,3,50.0,6,17600000
8,9,3,70.0,6,32900000
5,11,3,62.3,6,39500000
2,2,3,79.0,6,35900000
4,5,3,135.0,6,216100000
4,5,3,135.0,6,245100000
2,11,3,135.0,6,132900000
4,6,3,68.5,6,24100000
6,6,3,65.0,6,41300000
6,7,3,140.0,6,127400000
5,5,3,75.4,6,36600000
1,12,3,50.0,6,17600000
8,9,3,70.0,6,32900000
9,9,2,131.6,6,63200000
10,11,2,40.0,6,26700000
7,12,2,58.1,6,26600000
4,5,2,49.0,6,16000000
10,11,2,68.0,6,45300000
8,11,2,40.9,6,29800000
9,10,2,75.0,6,33800000
9,9,2,131.6,6,63200000
1,5,2,37.4,6,13100000
9,23,2,70.1,6,32900000
8,11,2,41.1,6,27400000
6,12,1,39.9,7,14500000
7,9,1,30.0,7,9700000
4,9,2,42.0,7,14000000
5,20,3,75.8,7,24200000
5,20,3,75.8,7,24200000
4,9,2,42.0,7,14000000
20,22,1,38.4,8,12600000
4,9,1,31.0,8,10900000
4,5,1,30.0,8,9300000
1,4,2,53.5,8,15000000
2,14,4,110.8,8,31800000
4,9,3,60.4,8,15100000
4,9,3,60.4,8,15100000
1,4,2,53.5,8,15000000
34,58,1,43.0,9,24300000
9,52,1,30.0,9,15400000
22,33,1,34.4,9,16500000
17,58,1,30.0,9,14100000
18,48,1,42.4,9,21000000
7,48,1,42.0,9,23700000
56,58,1,38.0,9,20300000
23,43,1,45.0,9,26100000
30,43,1,46.0,9,23400000
17,25,1,38.0,9,19500000
10,43,1,41.0,9,22200000
9,46,1,43.5,9,22200000
18,48,1,42.4,9,21000000
9,48,1,42.0,9,23700000
7,30,1,36.6,9,21700000
2,32,1,47.0,9,22900000
6,9,1,32.7,9,10800000
3,5,1,29.7,9,9800000
8,27,1,36.5,9,17000000
14,47,1,42.4,9,20000000
