Авиамоторная;37.6895080934;55.752530851;27;monolith;None;16.9;2;300357622;62.4;flat;12;31.8;26881920
Авиамоторная;37.703775;55.751447;27;block;None;6.0;1;299418867;25.8;flat;16;14.0;12900000
Авиамоторная;37.6996415464;55.7528906503;25;monolith;None;17.0;2;300357723;58.7;flat;9;24.1;24248970
Авиамоторная;37.6996415464;55.7528906503;22;monolith;None;14.0;1;300900445;36.0;flat;7;17.0;16950000
Авиамоторная;37.74178480154192;55.73659948644136;45;monolith;None;21.7;2;296503167;45.9;flat;3;10.4;17403578
Авиамоторная;37.700137;55.752379;23;monolith;2019;17.0;2;301218049;68.0;flat;15;45.0;32000000
Авиамоторная;37.6904011293;55.7516227366;26;monolith;None;14.0;2;300358055;66.2;flat;19;31.6;25672360
Авиамоторная;37.703775;55.751447;29;None;2022;8.0;1;300670002;28.0;flat;11;18.0;13700000
Авиамоторная;37.74178480154192;55.73659948644136;45;monolith;None;14.9;2;296502924;37.1;flat;38;13.2;15431150
Авиамоторная;37.719387;55.745899;6;brick;1930;4.0;1;300144244;24.7;flat;1;10.0;9000000
Авиамоторная;37.6904011293;55.7516227366;25;monolith;None;15.8;2;300358019;61.1;flat;12;26.6;28173210
Авиамоторная;37.703999;55.747687;5;brick;1958;4.0;1;298595021;25.0;flat;1;16.0;8900000
Авиамоторная;37.74178480154192;55.73659948644136;45;monolith;None;11.7;2;296621372;56.6;flat;21;24.3;19828139
Авиамоторная;37.715516;55.750013;5;brick;1933;10.0;1;301247890;37.3;flat;5;20.0;10450000
Авиамоторная;37.74385546689992;55.73689003924608;9;monolith;None;12.7;2;298187789;54.4;flat;6;26.9;20701528
Авиамоторная;37.710225;55.75246;9;block;1962;6.0;1;296043394;31.3;flat;6;21.0;10100000
Авиамоторная;37.74178480154192;55.73659948644136;45;monolith;None;10.3;1;296503270;34.0;flat;2;11.7;13298444
Авиамоторная;37.716279;55.748544;14;panel;1973;7.0;2;301349952;39.0;flat;6;None;13700000
Авиамоторная;37.687866;55.749167;14;monolith;None;17.4;2;300165814;68.5;flat;14;31.1;42849350
Авиамоторная;37.716144;55.751817;12;brick;1957;6.7;2;295914745;47.3;flat;2;24.1;14800000
Авиамоторная;37.690401129255;55.7516227365684;25;monolith;None;None;1;300358007;41.6;flat;17;None;22921600
Авиамоторная;37.702194;55.746831;16;panel;None;10.0;1;301054393;35.0;flat;11;20.0;10600000
Авиамоторная;37.74178480154192;55.73659948644136;45;monolith;None;11.1;1;300128918;38.6;flat;25;18.3;14743076
Авиамоторная;37.701771;55.758144;17;panel;1991;9.0;2;301186527;53.6;flat;8;32.0;18200000
Авиамоторная;37.6996415464;55.7528906503;25;monolith;None;14.0;2;300357779;62.0;flat;21;29.9;24955000
Авиамоторная;37.719378;55.75094;12;brick;1956;9.0;2;295856104;55.4;flat;9;30.7;17800000
Авиамоторная;37.6965109035173;55.7532442158635;11;monolith;None;18.4;2;294513514;81.9;flat;11;26.3;31588830
Авиамоторная;37.701888;55.746573;16;block;1979;10.0;1;298940430;34.4;flat;12;None;10300000
Авиамоторная;37.6904011293;55.7516227366;25;monolith;None;20.0;2;300357969;67.6;flat;11;28.6;31609760
Авиамоторная;37.714815;55.77;14;block;1973;6.0;2;300425078;45.0;flat;13;None;15200000
Авиамоторная;37.6965109035;55.7532442159;24;monolith;None;17.0;2;300357424;57.2;flat;24;26.2;24779040
Авиамоторная;37.717923;55.749339;6;None;None;8.0;2;300118984;69.0;flat;1;40.0;16990000
Авиамоторная;37.74461721426029;55.73684766710628;29;monolith;None;17.1;2;298892859;42.0;flat;2;12.9;17200510
Авиамоторная;37.710171;55.753955;9;None;None;8.2;2;292636666;59.7;flat;6;36.7;17800000
Авиамоторная;37.6910374790608;55.7529277317889;27;monolith;None;3.0;1;300357872;28.8;flat;6;15.9;15678720
Авиамоторная;37.692115;55.761315;12;panel;1967;7.0;1;298783684;40.0;flat;4;24.0;12850000
Авиамоторная;37.6895080934;55.752530851;27;monolith;None;14.3;2;300357615;58.9;flat;6;28.9;25857100
Авиамоторная;37.715516;55.750013;5;brick;1933;6.0;2;299610374;43.6;flat;3;27.0;14800000
Авиамоторная;37.6996415464;55.7528906503;25;monolith;None;14.7;2;300357671;58.4;flat;17;26.1;24422880
Авиамоторная;37.710225;55.75246;9;block;1962;6.0;1;301276535;32.1;flat;8;21.3;11900000
Авиамоторная;37.74461721426029;55.73684766710628;29;monolith;None;21.8;2;300359803;45.0;flat;3;10.7;17759750
Авиамоторная;37.720465;55.743421;16;panel;1983;11.0;2;300667686;53.0;flat;10;34.0;17550000
Авиамоторная;37.6904011293;55.7516227366;25;monolith;None;16.5;2;300357991;62.6;flat;11;29.6;28896160
Авиамоторная;37.692115;55.761315;12;panel;1967;6.0;2;300482674;45.0;flat;6;29.0;17000000
Авиамоторная;37.6965109035173;55.7532442158635;11;monolith;None;15.5;1;294513508;53.8;flat;11;27.4;23015640
Авиамоторная;37.716279;55.748544;14;monolith;1973;10.0;1;291768779;35.7;flat;6;16.0;12500000
Авиамоторная;37.74327610975353;55.73685372060559;37;monolith;None;18.7;2;296502639;40.8;flat;35;13.5;16593292
Авиамоторная;37.71671;55.755799;5;brick;1956;9.0;2;299454791;53.1;flat;3;34.0;16300000
Авиамоторная;37.6965109035173;55.7532442158635;11;monolith;None;12.9;1;294513504;51.9;flat;1;26.2;18746280
Быковское;38.008088;55.626685;5;brick;1965;6.0;2;300277055;43.0;flat;1;28.0;6200000
Авиамоторная;37.6996415463688;55.752890650257;25;monolith;None;16.0;2;300357777;55.1;flat;15;26.8;23676470
Авиамоторная;37.710096;55.751281;12;monolith;2021;None;1;298378189;38.6;flat;10;None;17500000
Авиамоторная;37.6895080934;55.752530851;27;monolith;None;14.9;2;300357609;56.2;flat;25;28.0;25868860
Авиамоторная;37.71671;55.755799;5;brick;1956;8.0;2;299484395;53.1;flat;3;None;16300000
Авиамоторная;37.6910374791;55.7529277318;27;monolith;None;11.3;1;300357913;34.6;flat;12;12.0;18078500
Авиамоторная;37.70311;55.746112;9;monolith;1973;6.4;1;300982104;26.0;flat;2;None;10300000
Авиамоторная;37.6904011293;55.7516227366;26;monolith;None;15.1;2;300358041;63.8;flat;11;28.1;28416520
Авиамоторная;37.720465;55.743421;16;panel;1983;10.0;2;300874697;52.0;flat;14;None;18000000
Авиамоторная;37.6910374791;55.7529277318;14;monolith;None;17.6;1;300357896;45.2;flat;6;12.4;21696000
Авиамоторная;37.701331;55.74526;14;monolith;2023;12.7;1;300417202;43.1;flat;8;18.8;13500000
Авиамоторная;37.74461721426029;55.73684766710628;29;monolith;None;11.4;2;300785189;58.1;flat;13;27.8;22923283
Авиамоторная;37.703775;55.751447;27;monolith;2022;8.0;1;299360335;30.0;flat;5;15.0;14500000
Авиамоторная;37.6965109035;55.7532442159;24;monolith;None;13.5;2;300357402;61.1;flat;24;30.1;28203760
Авиамоторная;37.701331;55.74526;14;None;2024;12.6;1;300744516;42.0;flat;8;19.0;13500000
Авиамоторная;37.690401129255;55.7516227365684;25;monolith;None;None;2;300357957;60.4;flat;17;None;27010880
Быковское;37.996473;55.623066;5;brick;1990;9.0;1;299230036;38.9;flat;2;19.0;4999000
Авиамоторная;37.74178480154192;55.73659948644136;45;monolith;None;12.2;1;296503015;37.4;flat;32;11.9;14863366
Авиамоторная;37.697729;55.758139;7;brick;None;9.0;2;295000522;57.0;flat;7;35.0;18290000
Авиамоторная;37.6996415464;55.7528906503;25;monolith;None;18.2;2;300357761;63.0;flat;14;26.9;26970300
Авиамоторная;37.70311;55.746112;9;panel;None;6.0;1;294828239;30.0;flat;4;18.0;10200000
Авиамоторная;37.6996415464;55.7528906503;25;monolith;None;14.7;1;301144167;37.9;flat;21;12.0;19056120
Авиамоторная;37.700505;55.751102;16;monolith;None;18.0;2;301228797;72.8;flat;3;31.0;27300000
Авиамоторная;37.74247144704973;55.73664791216401;11;monolith;None;12.0;2;301048366;54.5;flat;3;26.7;20386818
Авиамоторная;37.706973;55.75323;25;monolithBrick;2018;18.0;1;300542575;38.0;flat;9;18.0;16500000
Авиамоторная;37.6895080934;55.752530851;27;monolith;None;22.9;1;300357568;46.8;flat;2;12.8;21673080
Авиамоторная;37.705958;55.755636;26;monolith;2022;None;1;299871968;40.3;flat;2;35.0;15300000
Авиамоторная;37.690401129255;55.7516227365684;26;monolith;None;27.0;2;300357999;69.6;flat;11;28.5;33401040
Авиамоторная;37.705958;55.755636;26;monolithBrick;2022;8.0;2;301385327;41.4;flat;21;26.0;18000000
Авиамоторная;37.6904011293;55.7516227366;25;monolith;None;17.2;2;300357971;54.9;flat;11;25.5;26143380
Авиамоторная;37.697729;55.758139;9;brick;1957;8.0;2;299145278;52.0;flat;6;30.0;18500000
Авиамоторная;37.690401129255;55.7516227365684;25;monolith;None;None;2;300358003;53.2;flat;17;None;26834080
Авиамоторная;37.701888;55.746573;16;block;1979;10.0;1;300489256;35.0;flat;13;19.0;11000000
